Date,Hour,Minute,Second,Milisecond,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
2021-09-24,15,16,22,214,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,223,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,232,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,241,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,251,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,259,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,270,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,279,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,290,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,301,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,311,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,322,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,334,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,344,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,355,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,368,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,379,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,393,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,402,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,548,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,561,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,577,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,588,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,597,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,608,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,618,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,626,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,637,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,647,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,662,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,674,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,684,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,694,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,704,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,715,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,723,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,734,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,743,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,759,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,768,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,780,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,791,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,802,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,812,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,821,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,831,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,843,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,856,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,867,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,878,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,889,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,898,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,910,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,921,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,930,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,939,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,950,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,960,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,977,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,991,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,0,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,10,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,19,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,28,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,37,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,47,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,57,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,67,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,78,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,88,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,97,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,108,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,117,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,127,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,23,137,-0.578,5.2,0.674,0,0,0,1
